Threshold,Precision,Recall,F1-score
0.4,0.9056603773584906,0.9411764705882353,0.9230769230769231
0.41,0.9056603773584906,0.9411764705882353,0.9230769230769231
0.42,0.9230769230769231,0.9411764705882353,0.9320388349514563
0.43,0.9230769230769231,0.9411764705882353,0.9320388349514563
0.44,0.9215686274509803,0.9215686274509803,0.9215686274509803
0.45,0.9215686274509803,0.9215686274509803,0.9215686274509803
0.46,0.9215686274509803,0.9215686274509803,0.9215686274509803
0.47,0.9215686274509803,0.9215686274509803,0.9215686274509803
0.48,0.9215686274509803,0.9215686274509803,0.9215686274509803
0.49,0.9215686274509803,0.9215686274509803,0.9215686274509803
0.5,0.9215686274509803,0.9215686274509803,0.9215686274509803
0.51,0.94,0.9215686274509803,0.9306930693069307
0.52,0.9591836734693877,0.9215686274509803,0.94
0.53,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.54,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.55,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.56,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.57,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.58,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.59,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.6,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.61,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.62,0.9583333333333334,0.9019607843137255,0.9292929292929293
0.63,0.9574468085106383,0.8823529411764706,0.9183673469387755
0.64,0.9574468085106383,0.8823529411764706,0.9183673469387755
0.65,0.9574468085106383,0.8823529411764706,0.9183673469387755
0.66,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.67,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.68,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.69,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.7,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.71,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.72,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.73,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.74,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.75,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.76,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.77,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.78,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.79,0.9782608695652174,0.8823529411764706,0.9278350515463918
0.8,1.0,0.8823529411764706,0.9375
