Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Decision Tree,0.7920792079207921,0.8,0.7843137254901961,0.7920792079207921,0.7921568627450981
Random Forest,0.8415841584158416,0.8181818181818182,0.8823529411764706,0.8490566037735849,0.95
Gradient Boosting,0.9108910891089109,0.9375,0.8823529411764706,0.9090909090909091,0.9784313725490197
XGBoost,0.9207920792079208,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.987450980392157
